Iteration,H,Number of connected components,Maximum number of connected components,Number of connected components / Maximum number of connected components,Volume largest connected component,Total Volume,Largest volume / Total volume,Is percolating
2,0.46875,6,52,0.115385,88917.6,90360.6,0.984031,1
2,0.464844,6,52,0.115385,89653.6,91096.6,0.98416,1
2,0.460938,5,52,0.0961538,90613.6,91576.6,0.989484,1
2,0.457031,5,52,0.0961538,91605.6,92568.6,0.989597,1
2,0.453125,5,52,0.0961538,91829.6,92792.6,0.989622,1
2,0.449219,5,52,0.0961538,92821.6,93784.6,0.989732,1
2,0.445313,3,52,0.0576923,93514.6,94043.6,0.994375,1
2,0.441406,3,52,0.0576923,94188.6,94717.6,0.994415,1
2,0.4375,3,52,0.0576923,94684.6,95213.6,0.994444,1
2,0.433594,3,52,0.0576923,95118.6,95647.6,0.994469,1
2,0.429688,3,52,0.0576923,95728.6,96257.6,0.994504,1
2,0.425781,3,52,0.0576923,96057.6,96586.6,0.994523,1
2,0.421875,3,52,0.0576923,96681.6,97210.6,0.994558,1
2,0.417969,3,52,0.0576923,97273.6,97802.6,0.994591,1
2,0.414063,3,52,0.0576923,97881.6,98410.6,0.994625,1
2,0.410156,3,52,0.0576923,98617.6,99146.6,0.994664,1
2,0.40625,3,52,0.0576923,99353.6,99882.6,0.994704,1
2,0.402344,3,52,0.0576923,100316,100845,0.994754,1
2,0.398438,3,52,0.0576923,100668,101197,0.994773,1
2,0.394531,3,52,0.0576923,101660,102189,0.994823,1
2,0.390625,3,52,0.0576923,102156,102685,0.994848,1
2,0.386719,3,52,0.0576923,102734,103263,0.994877,1
2,0.382813,2,52,0.0384615,103918,103967,0.999529,1
2,0.378906,2,52,0.0384615,104398,104447,0.999531,1
2,0.375,1,52,0.0192308,104769,104769,1,1
2,0.371094,1,52,0.0192308,105699,105699,1,1
2,0.367188,1,52,0.0192308,106083,106083,1,1
2,0.363281,1,52,0.0192308,106851,106851,1,1
2,0.359375,1,52,0.0192308,107811,107811,1,1
2,0.355469,1,52,0.0192308,108373,108373,1,1
2,0.351563,1,52,0.0192308,108821,108821,1,1
2,0.347656,1,52,0.0192308,109543,109543,1,1
2,0.34375,1,52,0.0192308,110009,110009,1,1
2,0.339844,1,52,0.0192308,111001,111001,1,1
2,0.335938,1,52,0.0192308,111753,111753,1,1
2,0.332031,1,52,0.0192308,111986,111986,1,1
2,0.328125,1,52,0.0192308,112978,112978,1,1
2,0.324219,1,52,0.0192308,113970,113970,1,1
2,0.320313,1,52,0.0192308,114932,114932,1,1
2,0.316406,1,52,0.0192308,115894,115894,1,1
2,0.3125,1,52,0.0192308,116328,116328,1,1
2,0.308594,1,52,0.0192308,116765,116765,1,1
2,0.304688,1,52,0.0192308,117789,117789,1,1
2,0.300781,1,52,0.0192308,118157,118157,1,1
2,0.296875,1,52,0.0192308,118861,118861,1,1
2,0.292969,1,52,0.0192308,119885,119885,1,1
2,0.289063,1,52,0.0192308,120847,120847,1,1
2,0.285156,1,52,0.0192308,121327,121327,1,1
2,0.28125,1,52,0.0192308,121552,121552,1,1
2,0.277344,1,52,0.0192308,122320,122320,1,1
2,0.273438,1,52,0.0192308,123312,123312,1,1
2,0.269531,1,52,0.0192308,124016,124016,1,1
2,0.265625,1,52,0.0192308,124249,124249,1,1
2,0.261719,1,52,0.0192308,125273,125273,1,1
2,0.257813,1,52,0.0192308,125625,125625,1,1
2,0.253906,1,52,0.0192308,126249,126249,1,1
2,0.25,1,52,0.0192308,126550,126550,1,1
2,0.246094,1,52,0.0192308,127512,127512,1,1
2,0.242188,1,52,0.0192308,128218,128218,1,1
2,0.238281,1,52,0.0192308,128684,128684,1,1
2,0.234375,1,52,0.0192308,129132,129132,1,1
2,0.230469,1,52,0.0192308,129868,129868,1,1
2,0.226563,1,52,0.0192308,130604,130604,1,1
2,0.222656,1,52,0.0192308,130913,130913,1,1
2,0.21875,1,52,0.0192308,131393,131393,1,1
2,0.214844,1,52,0.0192308,132417,132417,1,1
